"node_id","node_name","playbook_name","action_id","action_name","current_sprk_executortype","current_advisory_executoractiontype","suggested_executortype","suggested_executortype_label","confidence","suggestion_source","owner_decision_executortype","owner_notes"
"a2d49d0d-4a65-f111-ab0c-70a8a590c51c","queryMatterContext","matter-health-single","5137365a-825e-f111-a825-6045bdebafa9","Insights — Live Fact Resolver","","","80","LiveFact","HIGH","action-name","80","AUTO-COPY (confidence=HIGH): script suggested LiveFact (80)."
"a3d49d0d-4a65-f111-ab0c-70a8a590c51c","checkSufficiency","matter-health-single","6139aa6c-825e-f111-a825-6045bdebafa9","Insights — Evidence Sufficiency","","","100","EvidenceSufficiency","HIGH","action-name","100","AUTO-COPY (confidence=HIGH): script suggested EvidenceSufficiency (100)."
"1e5ff113-4a65-f111-ab0c-70a8a590c51c","declineInsufficient","matter-health-single","d1121079-825e-f111-a825-6045bdebafa9","Insights — Decline to Find","","","110","DeclineToFind","HIGH","action-name","110","AUTO-COPY (confidence=HIGH): script suggested DeclineToFind (110)."
"0ec2dd90-a171-f111-ab0d-70a8a590c51c","Create Notification","Tasks Overdue","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
"bf305668-c370-f111-ab0e-70a8a590c51c","extract-tldr","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"c0305668-c370-f111-ab0e-70a8a590c51c","extract-keywords","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"c1305668-c370-f111-ab0e-70a8a590c51c","extract-entities","summarize-document-for-workspace@v1","eeb05bfd-1260-f111-ab0b-70a8a59455f4","Summarize Document for Chat","","","1","AiCompletion","HIGH","action-name","1","AUTO-COPY (confidence=HIGH): script suggested AiCompletion (1)."
"c8051d3c-965e-f111-a825-70a8a59455f4","resolveLiveFacts","predict-matter-cost@v1","5137365a-825e-f111-a825-6045bdebafa9","Insights — Live Fact Resolver","","","80","LiveFact","HIGH","action-name","80","AUTO-COPY (confidence=HIGH): script suggested LiveFact (80)."
"cc051d3c-965e-f111-a825-70a8a59455f4","retrievePrecedents","predict-matter-cost@v1","23939266-825e-f111-a825-6045bdebafa9","Insights — Index Retrieve","","","90","IndexRetrieve","HIGH","action-name","90","AUTO-COPY (confidence=HIGH): script suggested IndexRetrieve (90)."
"cd051d3c-965e-f111-a825-70a8a59455f4","checkSufficiency","predict-matter-cost@v1","6139aa6c-825e-f111-a825-6045bdebafa9","Insights — Evidence Sufficiency","","","100","EvidenceSufficiency","HIGH","action-name","100","AUTO-COPY (confidence=HIGH): script suggested EvidenceSufficiency (100)."
"cf051d3c-965e-f111-a825-70a8a59455f4","declineInsufficient","predict-matter-cost@v1","d1121079-825e-f111-a825-6045bdebafa9","Insights — Decline to Find","","","110","DeclineToFind","HIGH","action-name","110","AUTO-COPY (confidence=HIGH): script suggested DeclineToFind (110)."
"c9334fb7-a415-f111-8343-7c1e520aa4df","Save Profile","Document Profile","","","","","","","NONE","","22","AUTO-GUESS (NONE-row): Save Profile -> UpdateRecord (write profile output to Dataverse record). High confidence on Save -> write semantics."
"ca334fb7-a415-f111-8343-7c1e520aa4df","Profile Document","Document Profile","bb356968-ebe9-f011-8406-7ced8d1dc988","Document Profiler","","","","","NONE","","0","AUTO-GUESS (NONE-row): Profile Document with action ""Document Profiler"" -> AiAnalysis (Profiler action implies LLM prompt extracting structured data)."
"86e50852-9a16-f111-8343-7c1e520aa4df","Start","Document Summary","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"00602067-9a16-f111-8343-7c1e520aa4df","Document Profile Analysis","Document Summary","bb356968-ebe9-f011-8406-7ced8d1dc988","Document Profiler","","","","","NONE","","0","AUTO-GUESS (NONE-row): Document Profile Analysis with action ""Document Profiler"" -> AiAnalysis (LLM prompt)."
"e514cfab-9d16-f111-8343-7c1e520aa4df","Document Profile","Document Summary","","","","","","","NONE","","0","AUTO-GUESS (NONE-row): Document Profile (no action) -> AiAnalysis (best guess for a Summary-pipeline analysis step; VERIFY - could also be 42 DeliverComposite)."
"0fa4e8db-b216-f111-8343-7c1e520aa4df","Update Record","Document Profile","","","","","22","UpdateRecord","MEDIUM","node-name","22","AUTO-COPY (confidence=MEDIUM): script suggested UpdateRecord (22)."
"1ce32402-5118-f111-8343-7c1e520aa4df","Deliver Output","Patent Claims Analysis","","","","","40","DeliverOutput","LOW","node-name","40","AUTO-COPY (confidence=LOW): script suggested DeliverOutput (40)."
"9af6906e-ad18-f111-8343-7c1e520aa4df","AI Analysis","Quick Document Review","","","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"9bf6906e-ad18-f111-8343-7c1e520aa4df","Deliver Output","Quick Document Review","","","","","40","DeliverOutput","LOW","node-name","40","AUTO-COPY (confidence=LOW): script suggested DeliverOutput (40)."
"374034d4-b120-f111-88b5-7c1e520aa4df","AI Analysis","Analyze Agreement Financial Terms","","","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"bb62553e-b220-f111-88b5-7c1e520aa4df","AI Analysis","Finance Invoice Processing","","","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"6589421b-b420-f111-88b5-7c1e520aa4df","AI Analysis","Real Estate Lease Agreement Review","","","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"6689421b-b420-f111-88b5-7c1e520aa4df","AI Completion","Real Estate Lease Agreement Review","","","","","1","AiCompletion","MEDIUM","node-name","1","AUTO-COPY (confidence=MEDIUM): script suggested AiCompletion (1)."
"6789421b-b420-f111-88b5-7c1e520aa4df","Condition","Real Estate Lease Agreement Review","","","","","30","Condition","LOW","node-name","30","AUTO-COPY (confidence=LOW): script suggested Condition (30)."
"6889421b-b420-f111-88b5-7c1e520aa4df","Create Task","Real Estate Lease Agreement Review","","","","","20","CreateTask","MEDIUM","node-name","20","AUTO-COPY (confidence=MEDIUM): script suggested CreateTask (20)."
"6989421b-b420-f111-88b5-7c1e520aa4df","AI Analysis","Real Estate Lease Agreement Review","","","","","0","AiAnalysis","MEDIUM","node-name","0","AUTO-COPY (confidence=MEDIUM): script suggested AiAnalysis (0)."
"6a89421b-b420-f111-88b5-7c1e520aa4df","Deliver Output","Real Estate Lease Agreement Review","","","","","40","DeliverOutput","LOW","node-name","40","AUTO-COPY (confidence=LOW): script suggested DeliverOutput (40)."
"a5041587-5f2d-f111-88b5-7c1e520aa4df","Start","New Documents on Your Matters","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"a6041587-5f2d-f111-88b5-7c1e520aa4df","Check Results","New Documents on Your Matters","","","","","","","NONE","","30","AUTO-GUESS (NONE-row): Check Results -> Condition (branching node; ""Check"" implies routing)."
"3046208e-5f2d-f111-88b5-7c1e520aa4df","Start","New Emails on Matters","","","","","33","Start","LOW","node-name","33","AUTO-COPY (confidence=LOW): script suggested Start (33)."
"e4c0c595-5f2d-f111-88b5-7c1e520aa4df","Create Notification","New Emails on Matters","f97747ca-2b6f-f111-ab0e-7ced8ddc4cc6","System: Create Notification","","50","50","CreateNotification","HIGH","action-name","50","AUTO-COPY (confidence=HIGH): script suggested CreateNotification (50)."
